### based on codes available for free here: http://vag-codes.info/files/options/vag-option-codes.xlsx
### VAG option codes		http://vag-codes.info/
### 14288 option codes with description		
### 297 new codes		
### updated 13.01.2018		
### code	group	description
#38	MOT	4-cyl. turbo dies. eng. 1.6 l/92 kW (4V)TDI common rail ABT power enhancement
#7U	STR	Engine start and remote start feature without keyless locking and starting system
#AT	BRS	
#B1	BRS	ESC special vehicle 1
#B2	BRS	ESC special vehicle 2
#B3	BRS	ESC special vehicle 3
#B4	BRS	ESC special vehicle 4
#B5	BRS	ESC special vehicle 5
#B6	BRS	ESC special vehicle 6
#B7	BRS	ESC special vehicle 7
#B8	BRS	ASR application matched to special-purpose vehicle 1
#B9	BRS	ASR application matched to special-purpose vehicle 2
#BA	BRS	ESC special vehicle 8
#BB	BRS	ESC special vehicle 9
#BC	BRS	ESC special vehicle 10
#BD	BRS	ESC special vehicle 11
#BE	BRS	ESC special vehicle 12
#BF	BRS	ESC special vehicle 13
#BG	BRS	ESC special vehicle 14
#BH	BRS	ESC special vehicle 15
#BJ	BRS	ESC special vehicle 16
#BK	BRS	ESC special vehicle 17
#BL	BRS	ESC special vehicle 18
#BM	BRS	ESC special vehicle 19
#BN	BRS	ESC special vehicle 20
#BP	BRS	ESC special vehicle 21
#D0	AHV	Trailer hitch aftermarket equipment, removable and lockable
#D1	AHV	Trailer hitch aftermarket equipment, mechanically swiveling, manual
#D2	AHV	Trailer hitch aftermarket equipment, power-folding
#D3	AHV	Trailer hitch aftermarket equipment, USA
#D4	AHV	Trailer hitch aftermarket equipment, Australia
#D5	AHV	Trailer hitch aftermarket equipment, mechanically swiveling with reduced towing capacity
#D6	AHV	Trailer hitch aftermarket equipment, removable with reduced ventilation capacity
#D7	AHV	Trailer hitch aftermarket equipment, power-swiveling with reduced ventilationcapacity
#D8	AHV	Trailer hitch aftermarket equipment, rigid
#D9	AHV	Trailer hitch aftermarket equipment, power-swiveling with maneuvering system
#E1	AHV	Trailer hitch aftermarket equipment, electr. swiveling w/ reduced ventilationcapacity and maneuvering system
#E2	AHV	Trailer hitch aftermarket equipment, without trailer control module
#E3	AHV	Retrofitting of trailer hitch, with reduced ventilation capacity for Australia/New Zealand
#H1	REI	New coding of instrument cluster due to changed tires, new 245/75 R16
#H2	REI	New coding of instrument cluster due to changed tires, new 215/85 R16
#H3	REI	New coding of instrument cluster due to changed tires, new 285/75 R16
#I2	TKV	Recoding of 4I2 with activated auto-lock feature
#I3	TKV	Recoding of 4k3 with activated auto-lock feature
#J1	HES	Coding for rear spoiler fixed spoiler
#K1	FLS	Recoding 8K1 deactivation separate daytime running lights
#K3	FLS	Recoding 8K3 deactivation separate daytime running lights
#L1	ONL	Online Connectivity Unit deactivation without head unit coding
#L5	ONL	Online Connectivity Unit deactivation with head unit coding
#M9	ZUH	Retrofitting of fuel-fired parking heater with radio remote control
#N3	SWS	Reactivation of the rain sensor
#SK	SBR	LED tail lamp assembly as aftermarket equipment
#U2	STR	Aftermarket equipment remote start feature recoding of 7U2
#W3	CPD	Recoding of IW3
#X5	ESZ	Recoding GX5, decoding of the warning signal
#XI	ASE	Ext. mirror, auto-dimming, el. folding/ adjust., separately heated, w/ front pass. exterior mirror lowering function
#ZP	BAV	Disk brakes in front 15-inch " PC57-25/14 Jurid 200-FF
6H2	ABO	"high gloss"
6H3	ABO	"Carbon"
6H4	ABO	"Basic"
6H5	ABO	"Basic"
6H6	ABO	"Basic"
6H7	ABO	"Basic"
6H9	ABO	"Matt Silver"
6HA	ZKH	Without sticker/body cover
6HC	ZKH	Decorative tailgate trim
6HD	ZKH	Label "Airbag"
6HE	ZKH	Label "ABS"
6HF	ZKH	Label "ABS and EDL"
6HG	ZKH	Label "Automatic 4"
6HH	ZKH	Label "Automatic 4 and Airbag"
6HJ	ZKH	Label "Airbag and ABS"
6HK	ZKH	Label "Airbag, ABS and EDL"
6HL	COP	See supplement for MAN M-Number
6HM	COP	See supplement for MAN M-Number
6HN	COP	See supplement for MAN M-Number
6HP	COP	See supplement for MAN M-Number
6I0	SRH	Without lane keeping system
6I1	SRH	Lane keeping system
6I2	SRH	Lane keeping system and traffic jam assist
6I3	SRH	Lane departure warning
6I4	SRH	Semi-automatic vehicle control in a medical emergency
6I5	SRH	Lane keeping system plus semi-automatic vehicle control in a medical emergency
6I6	SRH	Lane keeping system plus semi-automatic vehicle control in a medical emergency and traffic jam assist
6J0	KSH	Without special body treatment
6J1	KSH	Special body treatment
6JA	TGE	Black door handles
6JB	TGE	Bright door handles
6JC	TGE	Door handles (pull straps)
6JD	TGE	Body-colored door handles
6JE	TGE	Chromed door handles (smooth)
6JF	TGE	Chromed door handles (embossed)
6K0	AWV	Without area monitoring system/without autonomous emergency braking system
6K1	AWV	Autonomous Emergency Braking
6K2	AWV	Forward collision warning incl. autonomous emergency braking, without adaptive cruise control
6K3	AWV	Forward collision warning incl. autonomous emergency braking, for adaptive cruise control "low"
6K4	AWV	Forward collision warning incl. autonomous emergency braking, for adaptive cruise control "high"
6K5	AWV	Forward collision warn. w/o autonomous emergency braking w/o adaptive cruise control (warning feature)
6K8	AWV	pre sense city without pre care
6K9	AWV	pre sense city with pre care
6KA	KUG	Radiator grille
6KB	KUG	Without radiator grille
6KC	KUG	Radiator grille
6KD	KUG	Radiator grille
6KE	KUG	Radiator grille
6KF	KUG	Radiator grille
6KG	KUG	Radiator grille
6KH	KUG	Radiator grille
6KJ	KUG	Radiator grille with chrome molding
6KK	KUG	Radiator grille (small batch)
6KL	KUG	Radiator grille
6KM	KUG	Radiator grille paintable
6KN	KUG	Black anodized radiator grille (open)
6KP	KUG	Radiator grille
6KQ	KUG	Radiator grille
6L0	CHS	Without C-rails
6L1	CHS	C-rails, roof bow
6L2	CHS	C-rails, side panel and partition
6L3	CHS	C-rails, partition, and roof bow
6L4	CHS	C-rails on cargo platform
6L5	CHS	C-rails, side panel, partition, and roofbow
6L6	CHS	C-rails on side panel
6L7	CHS	C-strips on cargo platform and side panel
6L8	CHS	C-strips on side panel and roof frame
6L9	CHS	C-strips on cargo platform, side panel and roof frame
6LA	FLA	Vent
6LB	FLA	Vent
6LC	FLA	Fresh air unit with recirculation door without center outlet and load/passengercompartment ventilation
6LD	FLA	Fresh air unit with center outlet and recirculation door, without load/ passenger compartment ventilation
6LE	FLA	Fresh air unit with center outlet, with load/passenger compartment ventilation, without recirculation door
6LF	FLA	Fresh air unit with center outlet recirculation door and load/passenger compartment ventilation
6LG	FLA	Standard air outlet
6LH	FLA	Comfort air outlet
6LJ	FLA	Vent for special edition
6LZ	FLA	Without vent
6M0	GPS	Without tie down straps/net/pocket
6M1	GPS	Tie down straps
6M2	GPS	Load safety net
6M3	GPS	Trunk net
6M4	GPS	Load protection system
6M5	GPS	Trunk net
6M6	GPS	Load protection system inclusive shopping net
6M7	GPS	Pocket with protective cloth
6M8	GPS	Trunk net and pocket with protective cloth
6MA	SON	Double sun visors with mirror, illuminated
6MB	SON	Double sun visors with mirror, illuminated, airbag label on sun visor
6MC	SON	Double sun visors with mirror, illuminated (China)
6MD	SON	Double sun visors with mirror, illuminated (South Korea)
6ME	SON	Double sun visors with mirror, illuminated (Taiwan)
6N0	SZF	Without mud flap
6N1	SZF	Mud flap in rear
6N2	SZF	Mud flap in front and rear
6N3	SZF	Mud flap in front
6N4	SZF	Mud flap, special type
6NA	HIM	Unsplit molded headliner
6NB	HIM	Split molded headliner
6NC	HIM	Molding roof liner
6NF	HIM	Unsplit molded headliner, Comfort
6NG	HIM	Unsplit molded headliner roof cutout rear (radio antenna)
6NH	HIM	Unsplit molded headliner, Comfort roof cutout rear (radio antenna)
6NJ	HIM	Standard molded headliner
6NL	HIM	Unsplit molded headliner
6NM	HIM	Unsplit molded headliner, Comfort
6NN	HIM	Alcantara molded headliner
6NP	HIM	Leather molded headliner
6NQ	HIM	Standard molded headliner
6NR	HIM	Leather molded headliner
6NS	HIM	Alcantara molded headliner
6NT	HIM	Molded headliner
6NU	HIM	Molded headliner " Carbon fibre skin "
6NV	HIM	Alcantara molded headliner
6NW	HIM	Unsplit molded headliner
6NZ	HIM	Without molded headliner
6P0	KZH	Without rear license plate carrier
6P1	KZH	Rear license plate carrier (ECE)
6P2	KZH	Rear license plate carrier (NAR)
6P3	KZH	Rear license plate carrier
6P4	KZH	Rear license plate carrier (Japan)
6P5	KZH	Rear license plate carrier (China)
6P6	KZH	Rear license plate carrier (Brazil)
6P7	KZH	Rear license plate carrier luminous
6P8	KZH	Rear license plate carrier
6P9	KZH	Rear license plate carrier
6PA	HBV	Plastic hand brake lever handle
6PB	HBV	Without hand brake lever handle
6PC	HBV	Hand brake lever handle in leather
6PD	HBV	Leather hand brake lever handle with special color trim
6PE	HBV	Hand brake lever handle in leather
6PG	HBV	Alcantara hand brake lever handle
6PH	HBV	Plastic hand brake lever handle
6Q0	SAG	Without gearshift knob/handle
6Q1	SAG	Plastic gearshift knob/handle
6Q2	SAG	Leather gearshift knob/handle
6Q3	SAG	Wooden gearshift knob/handle
6Q4	SAG	Comfort gearshift knob/handle
6Q5	SAG	Sports gearshift knob
6Q6	SAG	Aluminum gearshift knob/handle
6Q7	SAG	Leather gearshift knob with aluminum look
6Q8	SAG	Wooden gearshift knob
6Q9	SAG	Leather gearshift knob/handle
6QA	VRH	Rear seat catch
6QB	VRH	Locking rear seat catch
6R0	SHV	Selector lever cover
6R1	SHV	Leatherette gearshift boot
6R2	SHV	Leather gearshift boot
6R3	SHV	Rubber gearshift boot
6R4	SHV	Plastic gearshift boot
6R5	SHV	Without gearshift lever cover
6R6	SHV	Leatherette gearshift boot
6R7	SHV	Leather gearshift boot with acoustic deadener
6R8	SHV	Gearshift lever cover
6R9	SHV	Leather gearshift boot
6RA	FIT	Dashboard and door trim panel one-piece, single color
6RB	FIT	Dashboard and door trim panel multi-piece, single-color, multi-colored
6RC	FIT	Without deviating seams/leather
6RD	FIT	Deviating seams in interior
6RE	FIT	Deviating leather for insert
6RF	FIT	Deviating leather for inserts and deviating seams in interior
6RG	FIT	Deviating Alcantara for insert
6RH	FIT	Deviating Alcantara for insert and deviating seams in interior
6RI	FIT	Porsche Exclusive equipment line (small package)
6RJ	FIT	Porsche Exclusive equipment line (large package)
6S0	POL	Without front position lamps
6S1	POL	Front position lamps in front and rear (on roof in front, on pickup platform frame in rear)
6S2	POL	Side lights front and rear on pickup platform frame
6S3	POL	Front position lamps on roof
6S4	POL	Front position lamps on roof
6S5	POL	Rear position lamps
6SA	KBB	Without luggage compartment floor covering
6SB	KBB	Trunk floor covering plastic on felt
6SC	KBB	Luggage compartment floor covering in needle-punched nonwoven
6SD	KBB	Luggage compartment floor covering in needle-punched nonwoven (dimensionally stable)
6SE	KBB	Luggage compartment floor covering in flat needle-punched nonwoven
6SF	KBB	Standard luggage compartment floor covering
6SG	KBB	Luggage compartment floor covering "Comfort"
6SH	KBB	Luggage compartment floor covering in rubber
6SJ	KBB	Luggage compartment floor covering, reversible mat (rubber/fabric)
6SK	KBB	Luggage compartment floor covering, reversible mat (rubber/fabric)
6SL	KBB	Tufted luggage compartment floor covering (velour)
6SM	KBB	Luggage compartment floor covering in needle-punched nonwoven (Dilours)
6SN	KBB	Luggage compartment protection insert
6SP	KBB	Luggage compartment floor covering (488-l type)
6SQ	KBB	Luggage compartment/cargo area floor covering in plastic
6SR	KBB	Luggage compartment floor covering, carpet
6SS	KBB	Luggage compartment floor covering
6ST	KBB	Luggage compartment floor covering
6SU	KBB	Luggage compartment protection insert with reversible mat
6T0	INL	Without interior light in footwell
6T1	INL	Interior light in footwell
6T2	INL	Interior light in footwell in front and rear
6T3	INL	Without interior light in footwell
6T4	INL	Interior light in footwell
6T5	INL	Interior light in footwell in front and rear
6TA	ASR	Right exterior mirror, power-adjustable,flat
6TB	ASR	Right exterior mirror, power-adjustable,convex
6TC	ASR	Right exterior mirror, power-adjustable,aspherical
6TD	ASR	Right exterior mirror: power-adjustable,convex (Porsche)
6TE	ASR	Right exterior mirror power-adjustable, flat (Porsche)
6TG	ASR	Right exterior mirror with brace, convex, power-adjustable and heated
6TH	ASR	Right exterior mirror with brace: convex(AGCC) and wide angle
6TJ	ASR	Right exterior mirror, convex (AGCC) on large brace, and wide angle
6TK	ASR	Right exterior mirror, convex, power-adjustable/heated (according to AGCC regulations)
6TL	ASR	Right exterior mirror: power-adjustable,convex (according to AGCC regulations)
6TQ	ASR	Right exterior mirror, flat, large viewing field
6TR	ASR	Right exterior mirror, convex, large viewing field (AGCC)
6TS	ASR	Right exterior mirror, aspherical, large viewing field
6U0	ZTD	Without additional seals outside
6U1	ZTD	Additional dust seal outside
6U2	ZTD	Additional door dust seal outside and further dust protection measures
6U3	ZTD	Additional seals
6U4	ZTD	Additional dust seal outside, but without additional seal for rear doors
6U5	ZTD	Additional door dust seal outside a. RS2cladding
6U6	ZTD	Additional dust seal for rear doors
6U7	ZTD	Additional dust protection measures
6U8	ZTD	Additional door dust seal outside and further seals
6U9	ZTD	Additional seals
6UA	ASL	Left exterior mirror, power-adjustable, flat
6UB	ASL	Left exterior mirror, power-adjustable, convex
6UC	ASL	Left exterior mirror, power-adjustable, aspherical
6UD	ASL	Left exterior mirror: power-adjustable, flat (Porsche)
6UE	ASL	Left exterior mirror: power-adjustable, convex (Porsche)
6UG	ASL	Left exterior mirror with brace, convex,power-adjustable and heated
6UH	ASL	Left exterior mirror with brace: convex (AGCC) and wide angle
6UJ	ASL	Left exterior mirror, convex (AGCC) on large brace, and wide angle
6V0	HEB	Without rear trim panel
6V1	HEB	Rear trim panel (ECE)
6V2	HEB	Rear trim panel
6V3	HEB	Rear trim panel
6V4	HEB	Rear trim panel
6V5	HEB	Rear trim panel
6V6	HEB	Rear trim panel
6VA	SML	Without side window aperture in load compartment, center left
6VB	SML	Side window aperture without window load/passenger compartment center left
6VC	SML	Side window clear glass load/passenger compartment center left
6VD	SML	Side window in heat-insulating glass in load/passenger compartment, center, left
6VF	SML	Sliding window clear glass load/passenger compartment center left
6VG	SML	Sliding window in heat-insulating glass in load/passenger compartment, center, left
6VH	SML	Side window in load/passenger compartment, center, left
6VJ	SML	Sliding window in load/passenger compartment, center, left
6W0	KZV	Without front license plate carrier
6W1	KZV	Front license plate carrier (large)
6W2	KZV	Front license plate carrier (small)
6W3	KZV	Front license plate carrier (small, NAR)
6W4	KZV	Front license plate carrier (small, Japan)
6W5	KZV	Front license plate carrier
6W6	KZV	Front license plate carrier
6W7	KZV	Front license plate carrier (China)
6W8	KZV	Front license plate carrier (AGCC countries)
6W9	KZV	Front license plate carrier
6WA	SMR	Without side window aperture in load compartment center right
6WB	SMR	Side window aperture without window load/passenger compartment center right
6WC	SMR	Side window clear glass load/passenger compartment center right
6WD	SMR	Side window in heat-insulating glass in load/passenger compartment, center, right
6WF	SMR	Sliding window clear glass load/passenger compartment center right
6WG	SMR	Sliding window in heat-insulating glass in load/passenger compartment, center, right
6WH	SMR	Side window in load/passenger compartment, center, right
6WJ	SMR	Sliding window in load/passenger compartment, center, right
6X0	HGE	Without entry grab handle
6X1	HGE	Entry grab handle inside (B-pillar)
6X2	HGE	Entry grab handle (front passenger side)
6X3	HGE	Grab handle inside (entry at partition)
6X4	HGE	Entry handle on A pillar on driver and front passenger side
6X5	HGE	Entry grab handle (driver)
6XA	ASE	Exterior mirrors, adjustable from outside
6XB	ASE	Exterior mirrors, adjustable from inside
6XC	ASE	Exterior mirrors: power-adjustable
6XD	ASE	Exterior mirrors, power-adjustable/ heated
6XE	ASE	Exterior mirrors, power-folding and power-adjustable/heated
6XF	ASE	Exterior mirrors with memory feature, power-folding/adjustable/heated
6XG	ASE	Exterior mirrors: with memory feature, power-adjustable/heated
6XH	ASE	Exterior mirrors, heated, adjustable from inside
6XI	ASE	Ext. mirr., auto-dimming, electr. fold./adjustable, heated, w/ front passenger exterior mirror lowering function
6XJ	ASE	Exterior mirrors, auto-dimming, power-adjustable/heated
6XK	ASE	Exterior mirrors, auto-dimming, power-folding/adjustable/heated
6XL	ASE	Exterior mirrors with memory feature, auto-dimming, power-folding/adjustable/heated
6XM	ASE	Exterior mirrors with memory feature, auto-dimming, power-adjustable/heated
6XN	ASE	Exterior mirrors: power-adjustable, separately heated
6XP	ASE	Exterior mirrors, power-folding, power-adjustable, separately heated
6XQ	ASE	Exterior mirrors: with memory feature, power-folding/adjustable, separately heated
6XR	ASE	Exterior mirrors with memory feature, power-adjustable, separately heated
6XS	ASE	Exterior mirrors with memory feature, power-adjustable
6XT	ASE	Exterior mirrors with memory feature, auto-dimming, power-folding/adjustable, separately heated
6XU	ASE	Exterior mirrors, auto-dimming, power-adjustable, separately heated
6XV	ASE	Exterior mirrors, power-folding, power-adjustable
6XW	ASE	Exterior mirrors, auto-dimming, power-folding/adjustable, separately heated
6XX	ASE	Exterior mirrors, power-adjustable (type 2)
6XY	ASE	Without exterior mirror adjustment
6XZ	ASE	Exterior mirrors, adjustable from outside on driver side, adjustable from inside on front passenger side
6Y0	GWA	Without cruise control warning system
6Y1	GWA	Cruise control warning system
6Y2	GWA	Speed limiter
6Y3	GWA	Electronic speed control
6Y4	GWA	Speed limiter
6Y5	GWA	Mechanical speed control manual accelerator for power take-off
6Y6	GWA	Speed limiter
6Y7	GWA	Speed limiter
6Y8	GWA	Speed limiter
6Y9	GWA	Without speed limiter
6YA	ASE	Exterior mirrors, power-adjustable, w/ front passenger exterior mirror lowering function
6YB	ASE	Exterior mirrors, power-adjustable/ heated, with front passenger exterior mirror lowering function
6YC	ASE	Exterior mirrors, power-folding and power-adjustable, with front passenger exterior mirror lowering function
6YD	ASE	Exterior mirrors, power-folding/ power-adjustable, heated, with front passenger exterior mirror lowering f.
6Z1	BLV	Yellow turn signals
6Z2	BLV	White turn signals
6Z4	BLV	Turn signals with dark colored lenses
70A	LKA	Charging cable, mode 2, type 2 / L (8 A)
70B	LKA	Charging cable, mode 2, type 2 / K (8 A)
70C	LKA	Charging cable, mode 2, type 2 / J (8 A)
70D	LKA	Charging cable, mode 2, type 2 / G (10 A)
70E	LKA	Charging cable, mode 2, type 2 / L (8 A)and AC mode 3, type 2 (16 A)
70F	LKA	Charging cable, mode 2, type 2 / K (8 A) and AC mode 3, type 2 (16 A)
70G	LKA	Charging cable, mode 2, type 2 / J (8 A)and AC mode 3, type 2 (16 A)
70H	LKA	Charging cable, mode 2, type 2 / G (10A)and AC mode 3, type 2 (16 A)
70J	LKA	Charging cable: mode 2, type 2/E+F (10A)specific to Norway
70K	LKA	Charging cable: mode 2, type 2/E+F (10A)and AC mode 3, type 2 (16A) specific to Norway
70L	LKA	Charging cable: mode 2, type N / ZA
70M	LKA	Charging cable, mode 3, type 3/2 / (16A), specific to France
70N	LKA	Charging cable, mode 2, type 2 / E+F (10A) and charging cable, mode 3, type 3/2, type (16A), specific to France
70P	LKA	Charging cable M2 type 1 NAR 110 V/10 A 6m
70Q	LKA	Charging cable HH type N (BR)
70R	LKA	Charging cable HH type N (ZA)
70S	LKA	Charging cable HH type L (IT)
70T	LKA	Charging cable HH type E/F (DT/FR)
70U	LKA	Charging cable HH type B (JP)
70V	LKA	Charging cable HH type J (CH)
70W	LKA	Charging cable HH type G (GB)
70X	LKA	Charging cable HH type B (US)
70Y	LKA	Charging cable HH type K (DK)
70Z	LKA	Charging cable HH type I (AU)
71A	LKA	Charging cable HH type M (IN)
71B	LKA	Charging cable HH type I (CN) 16 A
71C	LKA	Charging cable HH type B (MX)
71D	LKA	Charging cable HH type I (CN) 10 A
71E	LKA	Charging cable mode 2, type 1 / G (10 A)specific to Singapore
71F	LKA	Charging cable mode 2, type 1 / G (10 A)and mode 3 specific to Singapore
71G	LKA	Charging cable M2 EU angled safety plug (Schuko) 8A
71H	LKA	Charging cable M2 EU angled safety plug (Schuko) (8A) and mode 3, type 2 (16A) for EU
71X	LKA	Charging cable HH type B (MX) Porsche E2
71Y	LKA	Charging cable HH type I (CN) 16 A Porsche E2
72A	LKA	Charging cable, mode 2, type 1 (DE)
72B	LKA	Charging cable, mode 2, type 2 (KR)
72C	LKA	Charging cable, mode 2, type 3 (CH)
72D	LKA	Charging cable, mode 2, type 4 (GB)
72E	LKA	Charging cable, mode 2, type 5 (SG)
72F	LKA	Charging cable, mode 2, type 6 (PE)
72G	LKA	Charging cable HH type E/F (DE/FR) and charging cable (mode 3) type 3/2
72H	LKA	Charging cable, mode 2, type 8 (IT)
72I	LKA	Charging cable, mode 2, type 9 (DK)
72J	LKA	Charging cable, mode 2, type 10 (AR)
72K	LKA	Charging cable, mode 2, type 11 (AU)
72L	LKA	Charging cable, mode 2, type 12 (IN)
72M	LKA	Charging cable, mode 2, type 13 (BR)
72N	LKA	Charging cable, mode 2, type 14 (CL)
72P	LKA	Charging cable, mode 2, type 15 (US)
72Q	LKA	Charging cable, mode 2, type 16 (JP)
72R	LKA	Charging cable HH type I (CN) 10 A and charging cable (mode 3) type CN
72S	LKA	Charging cable HH type M (IN) and charging cable (mode 3) type 2
72T	LKA	Charging cable HH type E/F (DE/FR) and charging cable (mode 3) type 2
72U	LKA	Charging cable HH type J (CH) and charging cable (mode 3) type 2
72V	LKA	Charging cable HH type G (GB) and charging cable (mode 3) type 2
72W	LKA	Charging cable HH type L (IT) and charging cable (mode 3) type 2
72X	LKA	Charging cable HH type K (DK) and charging cable (mode 3) type 2
72Y	LKA	Charging cable HH type I (CN) 16 A and charging cable (mode 3) type CN
73A	LKB	Without charging cable (industrial connector)
73B	LKB	Charging cable with industrial connectorNEMA 6-30
73C	LKB	Charging cable with industrial connectorNEMA 6-50
73D	LKB	Charging cable with industrial connectorNEMA 14-30
73E	LKB	Charging cable with industrial connectorNEMA 14-50
73F	LKB	Charging cable with industrial connectortype Japan 200V (EV connector)
73G	LKB	Charging cable with industrial connectorCEE 16A / 230V / 6h
73H	LKB	Charging cable with industrial connectorCEE 32A / 230V / 6h
73J	LKB	Charging cable with industrial connectorCEE 16A / 400V / 6h
73K	LKB	Charging cable with industrial connectorCEE 32A / 400V / 6h
73L	LKB	Charging cable industrial connector Infra Fest
73M	LKB	Charging cable with industrial connectorCEE 16A / 230V / 6h, long and straight
73N	LKB	Charging cable with industrial connectorCEE 32A / 230V / 6h, long and straight
73P	LKB	Charging cable with industrial connectorCEE 16A / 400V / 6h, long and straight
73Q	LKB	Charging cable with industrial connectorCEE 32A / 400V / 6h, long and straight
73R	LKB	Charging cable with industrial connectortype Japan 200V (EV connector), long
73S	LKB	Charging cable with industrial connectortype Japan YP-43 (power current)
73T	LKB	Charging cable with industrial connectortype Japan YP-43 (power current), long
73U	LKB	Charging cable with industrial connectoras per GB1003
73V	LKB	Charging cable w/ industrial connector, fixed connection on charging infrastructure side, 80A, as per UL
73W	LKB	Charging cable w/ industrial connector, fixed connection on charging infrastructure side, as per GB
76A	LKC	Without mode 3 charging cable
76B	LKC	Charging cable mode 3, type 2/1, 16 A
76C	LKC	Charging cable mode 3, type 2/3, 16 A
76D	LKC	Charging cable mode 3, type 2, type 3
76E	LKC	Charging cable mode 3, type GB/T 1 32 A
76F	LKC	Charging cable mode 3, type GB/T 3 16 A
76G	LKC	Charging cable mode 3, type GB/T 3 32 A
76H	LKC	Charging cable mode 3, type 2 3 32 A
77A	CDR	DVD (Eastern Europe) without VCA Virtual Car Assistant "Virtual Quick Reference Guide CARLA"
77B	CDR	SD card (China)
77C	CDR	CD ROM set (Europe)
77D	CDR	SD card (ROW)
77E	CDR	SD card (NAR)
77F	CDR	Data storage device for ROW, integrated
77G	CDR	Data storage device for EU, integrated
77H	CDR	Data storage device for Australia, integrated
77J	CDR	Data storage device for Argentina, integrated
77K	CDR	Data storage device for Chile, integrated
77L	CDR	Integrated data storage device for Japan
77M	CDR	DVD (South Korea)
77N	CDR	Integrated data storage device for China
77P	CDR	Integrated data storage device for Taiwan
77Q	CDR	SD card (Europe), map updates for 1 year
77R	CDR	Integrated data storage device for NAR
77S	CDR	Data storage device, integrated without Mapcare
77T	CDR	SD card (ROW) version 2
77U	CDR	SD card (ROW) without Mapcare
77V	CDR	SD card (ROW) without Mapcare type 2
79A	SPU	Lane keeping system and traffic jam assist
79B	SPU	Lane change assist and lane keeping system and traffic jam assist
79C	SPU	Lane keeping system, traffic jam assist,and emergency assist
79D	SPU	Lane change assist, lane keeping system,traffic jam assist, and emergency assist
79E	SPU	Lane keeping system, traffic jam assist,rear traffic alert, and blind spot monitor
79F	SPU	Lane keeping system, traffic jam assist,rear traffic alert, blind spot monitor, and emergency assist
7A0	CDW	Without CD changer/CD player
7A1	CDW	CD changer preparation
7A2	CDW	CD changer
7A3	CDW	CD player
7A4	CDW	CD changer preparation type 2
7A5	CDW	CD changer for Japan
7A6	CDW	CD player and CD changer
7A7	CDW	Without CD changer
7A8	CDW	CD changer (front)
7A9	CDW	CD changer preparation (front)
7AA	EDW	Electronic engine immobilizer
7AB	EDW	Electronic engine immobilizer with anti-theft alarm system (for RoW)
7AC	EDW	Electronic engine immobilizer with anti-theft alarm system and interior monitoring
7AD	EDW	Anti-theft alarm system and interior monitoring
7AE	EDW	Anti-theft alarm system, interior monitoring, backup horn, towing protect.without switch for interior monitoring
7AF	EDW	Anti-theft alarm system and interior monitoring
7AG	EDW	Electronic engine immobilizer with anti-theft alarm system (for USA)
7AH	EDW	Electronic engine immobilizer with anti-theft alarm system, interior monitoring, and backup horn
7AI	EDW	Electronic engine immobilizer with panicalarm
7AJ	EDW	Electronic engine immobilizer with anti-theft alarm system and backup horn
7AK	EDW	Anti-theft alarm system, interior monitoring, and towing protection
7AL	EDW	Anti-theft alarm system, interior monitoring, backup horn, and towing protection
7AM	EDW	Electronic engine immobilizer with anti-theft alarm system, interior monitoring, and backup horn
7AN	EDW	Anti-theft alarm system, backup horn andtowing protection
7AP	EDW	Electronic engine immobilizer w/ alarm system, interior monitoring, backup horn, and all-door unlocking
7AQ	EDW	Anti-theft alarm system, interior monitoring, backup horn, and towing protection
7AR	EDW	Electronic engine immobilizer with anti-theft alarm system and backup horn
7AS	EDW	Anti-theft alarm system, interior monitoring, backup horn, and towing protection
7AT	EDW	Anti-theft alarm system, interior monitoring, and towing protection
7AU	EDW	Anti-theft alarm system, interior monitoring, backup horn, and towing protection
7AV	EDW	Electronic engine immobilizer
7AW	EDW	Anti-theft alarm system, interior monitoring, and towing protection
7AX	EDW	Electronic engine immobilizer, and protective frame for engine control module
7AZ	EDW	Preparation for anti-theft alarm system
7B0	STD	Without socket
7B1	STD	220-volt socket
7B2	STD	12-volt socket in luggage boot
7B3	STD	12-volt socket(s)
7B4	STD	Four 12-volt sockets in passenger compartment
7B5	STD	12-volt socket(s)
7B6	STD	12-volt socket(s)
7B7	STD	12-volt socket(s)
7B8	STD	12-volt socket(s)
7BA	ZBR	Snow tires 195/50 R15 82T/H on steel wheels 6J x 15 without cover
7BB	ZBR	Snow tires 195/50 R15 82T/H on steel wheels 6J x 15 with cover
7BC	ZBR	Snow tires 205/55 R16 91H on alloy wheels 6J x 16, ET31, (CJ6)
7BD	ZBR	Snow tires 205/55 R16 91H on alloy wheels 6J x 16, ET31, (CJ7)
7BF	ZBR	Additional tires
7BG	ZBR	Additional tires
7BH	ZBR	Additional snow tires
7BL	ZBR	Additional snow tires
7BM	ZBR	Additional snow tires
7BN	ZBR	Additional snow tires
7BP	ZBR	Additional snow tires
7BQ	ZBR	Snow tires 235/50 R18 H on alloy wheels 8J x 18, ET48 7-spoke style
7BR	ZBR	Snow tires 225/45 R17 H on alloy wheels 7.5J x 17, ET32 Avus style
7BS	ZBR	Snow tires 225/45 R17 H on alloy wheels 7.5J x 17, ET45 Avus style
7BT	ZBR	Additional snow tires
7BU	ZBR	Snow tires 235/50 R18 H on alloy wheels 8J x 18, ET48 Avus style
